Datum;Uhrzeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gefühlte Temperatur (°C);Regen (mm)
01/01/2019;00:00;61;25;36;Leicht bewölkt;2;2;0
01/01/2019;01:00;100;49;51;Leicht bewölkt;2;2;0
01/01/2019;02:00;143;73;70;Leicht bewölkt;2;2;0
01/01/2019;03:00;98;59;39;Leicht bewölkt;3;3;0
01/01/2019;04:00;68;34;34;Leicht bewölkt;3;2;0
01/01/2019;05:00;38;20;18;Leicht bewölkt;3;2;0
01/01/2019;06:00;26;11;15;Leicht bewölkt;3;2;0
01/01/2019;07:00;18;8;10;Leicht bewölkt;3;2;0
01/01/2019;08:00;26;13;13;Leicht bewölkt;3;2;0
01/01/2019;09:00;25;16;9;Leicht bewölkt;3;2;0
01/01/2019;10:00;47;23;24;Leicht bewölkt;4;2;0
01/01/2019;11:00;40;23;17;Leicht bewölkt;4;3;0
01/01/2019;12:00;88;49;39;Leicht bewölkt;5;3;0
01/01/2019;13:00;84;40;44;Leicht bewölkt;5;3;0
01/01/2019;14:00;81;39;42;Leicht bewölkt;5;3;0
01/01/2019;15:00;118;56;62;Leicht bewölkt;5;3;0
01/01/2019;16:00;110;56;54;Leicht bewölkt;5;3;0
01/01/2019;17:00;108;47;61;Leicht bewölkt;5;2;0
01/01/2019;18:00;72;32;40;Leicht bewölkt;4;1;0
01/01/2019;19:00;47;19;28;Leicht bewölkt;3;1;0
01/01/2019;20:00;56;40;16;Leicht bewölkt;2;1;0
01/01/2019;21:00;32;10;22;Leicht bewölkt;2;0;0
01/01/2019;22:00;40;16;24;Leicht bewölkt;2;0;0
01/01/2019;23:00;35;17;18;Stellenweiser Nieselregen;3;0;0
02/01/2019;00:00;12;3;9;Stellenweiser Nieselregen;3;0;0
02/01/2019;01:00;5;5;0;Stellenweiser Nieselregen;3;0;0
02/01/2019;02:00;2;0;2;Bedeckt;4;0;0
02/01/2019;03:00;0;0;0;Bedeckt;4;0;0
02/01/2019;04:00;3;3;0;Bedeckt;3;-1;0
02/01/2019;05:00;20;8;12;Leichter Eisregen;3;-2;0
02/01/2019;06:00;69;36;33;Leichter Eisregen;2;-2;0
02/01/2019;07:00;126;66;60;Leichter Eisregen;2;-3;0
02/01/2019;08:00;181;106;75;Stellenweise starker Schneefall;2;-3;0
02/01/2019;09:00;220;145;75;Stellenweise starker Schneefall;1;-3;0
02/01/2019;10:00;231;141;90;Stellenweise starker Schneefall;2;-3;0
02/01/2019;11:00;221;125;96;Mäßige bis starke Schneefälle;2;-3;0
02/01/2019;12:00;269;135;134;Mäßige bis starke Schneefälle;2;-2;0
02/01/2019;13:00;263;125;138;Mäßige bis starke Schneefälle;2;-2;0
02/01/2019;14:00;265;141;124;Mäßige bis starke Schneefälle;2;-2;0
02/01/2019;15:00;287;128;159;Mäßige bis starke Schneefälle;3;-2;0
02/01/2019;16:00;320;144;176;Mäßige bis starke Schneefälle;2;-3;0
02/01/2019;17:00;268;118;150;Mäßige bis starke Schneefälle;1;-3;1
02/01/2019;18:00;220;100;120;Mäßige bis starke Schneefälle;0;-4;1
02/01/2019;19:00;169;62;107;Mäßige bis starke Schneefälle;0;-4;0
02/01/2019;20:00;117;56;61;Mäßige bis starke Schneefälle;-1;-3;0
02/01/2019;21:00;76;37;39;Mäßige bis starke Schneefälle;-1;-3;0
02/01/2019;22:00;87;37;50;Mäßige bis starke Schneefälle;-2;-3;0
02/01/2019;23:00;38;12;26;Leichte Schneeschauer;-2;-3;0
03/01/2019;00:00;24;10;14;Leichte Schneeschauer;-2;-4;0
03/01/2019;01:00;17;5;12;Leichte Schneeschauer;-2;-3;0
03/01/2019;02:00;4;2;2;Leicht bewölkt;-2;-3;0
03/01/2019;03:00;7;2;5;Leicht bewölkt;-1;-3;0
03/01/2019;04:00;10;7;3;Leicht bewölkt;-1;-3;0
03/01/2019;05:00;32;17;15;Stellenweiser Schneefall;-1;-2;0
03/01/2019;06:00;73;42;31;Stellenweiser Schneefall;-1;-2;0
03/01/2019;07:00;133;63;70;Stellenweiser Schneefall;-1;-2;0
03/01/2019;08:00;202;109;93;Stellenweise leichter Schneefall;-1;-1;0
03/01/2019;09:00;201;126;75;Stellenweise leichter Schneefall;-1;-1;0
03/01/2019;10:00;196;109;87;Stellenweise leichter Schneefall;0;0;0
03/01/2019;11:00;198;111;87;Stellenweise leichter Schneefall;1;1;0
03/01/2019;12:00;277;133;144;Stellenweise leichter Schneefall;1;1;0
03/01/2019;13:00;247;125;122;Stellenweise leichter Schneefall;1;1;0
03/01/2019;14:00;290;152;138;Stellenweise leichter Schneefall;1;1;0
03/01/2019;15:00;287;151;136;Stellenweise leichter Schneefall;1;1;0
03/01/2019;16:00;363;173;190;Stellenweise leichter Schneefall;1;1;0
03/01/2019;17:00;290;132;158;Bewölkt;1;0;0
03/01/2019;18:00;279;109;170;Bewölkt;1;-1;0
03/01/2019;19:00;219;95;124;Bewölkt;0;-1;0
03/01/2019;20:00;133;50;83;Bedeckt;0;-2;0
03/01/2019;21:00;80;36;44;Bedeckt;0;-2;0
03/01/2019;22:00;84;28;56;Bedeckt;0;-2;0
03/01/2019;23:00;55;21;34;Starker Schneefall;0;-2;0
04/01/2019;00:00;19;10;9;Starker Schneefall;0;-2;0
04/01/2019;01:00;15;3;12;Starker Schneefall;0;-2;0
04/01/2019;02:00;12;7;5;Starker Schneefall;-1;-2;0
04/01/2019;03:00;7;4;3;Starker Schneefall;-1;-2;0
04/01/2019;04:00;7;6;1;Starker Schneefall;-1;-2;0
04/01/2019;05:00;17;7;10;Leichter Schneefall;-1;-2;0
04/01/2019;06:00;51;28;23;Leichter Schneefall;-2;-2;0
04/01/2019;07:00;127;66;61;Leichter Schneefall;-1;-2;0
