Datum;PLZ;Straße;Müllart;Abholregion
07.01.;78465;Abendbergweg;Biomuell;Konstanz
08.01.;78462;Ackertorweg;Biomuell;Konstanz
02.01.;78467;Adalbert-Schnatterer-Str.;Biomuell;Konstanz
07.01.;78465;Adenauerstr.;Biomuell;Konstanz
08.01.;78467;Adolf-Schmid-Str.;Biomuell;Konstanz
02.01.;78464;Aeschenweg;Biomuell;Konstanz
08.01.;78465;Albert-Riesterer-Weg;Biomuell;Konstanz
08.01.;78467;Alemannenstr.;Biomuell;Konstanz
08.01.;78462;Alfred-Wachtel-Str.;Biomuell;Konstanz
07.01.;78465;Allensbacher Str.;Biomuell;Konstanz
02.01.;78467;Allensteiner Str.;Biomuell;Konstanz
03.01.;78464;Allmannsdorfer Str.;Biomuell;Konstanz
02.01.;78464;Alpenstr.;Biomuell;Konstanz
02.01.;78464;Alpsteinweg;Biomuell;Konstanz
03.01.;78467;Alte Litzelstetter Str.;Biomuell;Konstanz
02.01.;78464;Alte Schiffstr.;Biomuell;Konstanz
07.01.;78465;Alte Torkelbergstr.;Biomuell;Konstanz
08.01.;78462;Alten Graben;Biomuell;Konstanz
03.01.;78467;Alter Bannweg;Biomuell;Konstanz
03.01.;78467;Alter Wall 1- 9 und 2- 8 (von Theodor-Heuss-Str. bis Mainaustraße);Biomuell;Konstanz
08.01.;78467;Alter Wall 11- 21 und 10- 20 (von Eisenbahnstr. bis Theodor-Heuss-Str.);Biomuell;Konstanz
02.01.;78464;Altmannstr.;Biomuell;Konstanz
03.01.;78467;Am alten Sägewerk;Biomuell;Konstanz
07.01.;78465;Am Berg;Biomuell;Konstanz
08.01.;78467;Am Briel;Biomuell;Konstanz
08.01.;78465;Am Brunnen;Biomuell;Konstanz
03.01.;78467;Am Ergatshauser Hof;Biomuell;Konstanz
08.01.;78465;Am Fliesshorn;Biomuell;Konstanz
07.01.;78465;Am Guckenbühl;Biomuell;Konstanz
03.01.;78467;Am Homberg;Biomuell;Konstanz
03.01.;78464;Am Pfeiferhölzle;Biomuell;Konstanz
07.01.;78465;Am Rathaus;Biomuell;Konstanz
08.01.;78467;Am Rheinufer;Biomuell;Konstanz
07.01.;78465;Am Rinzler;Biomuell;Konstanz
07.01.;78465;Am Schlehdorn;Biomuell;Konstanz
02.01.;78464;Am Schmerzenmösle;Biomuell;Konstanz
07.01.;78465;Am See;Biomuell;Konstanz
02.01.;78467;Am Seerhein;Biomuell;Konstanz
02.01.;78464;Am Tannenhof;Biomuell;Konstanz
08.01.;78465;Am Tobel;Biomuell;Konstanz
08.01.;78465;Am Ufer;Biomuell;Konstanz
02.01.;78464;Amalienstr.;Biomuell;Konstanz
07.01.;78465;Amselweg;Biomuell;Konstanz
03.01.;78464;An der Linde;Biomuell;Konstanz
02.01.;78464;An der Steig;Biomuell;Konstanz
03.01.;78464;Auf dem Salzberg;Biomuell;Konstanz
08.01.;78462;Auf der Insel;Biomuell;Konstanz
07.01.;78465;Augustaweg;Biomuell;Konstanz
02.01.;78467;August-Borsig-Str.;Biomuell;Konstanz
08.01.;78462;Augustinerplatz;Biomuell;Konstanz
02.01.;78467;August-Nikol.-Otto-Str.;Biomuell;Konstanz
08.01.;78467;Austr.;Biomuell;Konstanz
03.01.;78467;Bachbohlweg;Biomuell;Konstanz
02.01.;78464;Bachgasse;Biomuell;Konstanz
07.01.;78465;Bachwiesen;Biomuell;Konstanz
08.01.;78467;Badgasse;Biomuell;Konstanz
07.01.;78465;Bagnatosteig;Biomuell;Konstanz
08.01.;78462;Bahnhofplatz;Biomuell;Konstanz
08.01.;78462;Bahnhofstr.;Biomuell;Konstanz
03.01.;78467;Banater Str.;Biomuell;Konstanz
03.01.;78467;Bärlappweg;Biomuell;Konstanz
02.01.;78464;Beethovenstr.;Biomuell;Konstanz
07.01.;78465;Belchenwinkel;Biomuell;Konstanz
03.01.;78467;Benedikt-Bauer-Str.;Biomuell;Konstanz
08.01.;78467;Benediktinerplatz;Biomuell;Konstanz
03.01.;78467;Berchenstr.;Biomuell;Konstanz
08.01.;78464;Berggasse;Biomuell;Konstanz
03.01.;78467;Berliner Str.;Biomuell;Konstanz
08.01.;78467;Bettelgässchen;Biomuell;Konstanz
02.01.;78464;Bettengasse;Biomuell;Konstanz
08.01.;78465;Bettwiesen;Biomuell;Konstanz
03.01.;78464;Beyerlestr.;Biomuell;Konstanz
03.01.;78467;Bildwiese;Biomuell;Konstanz
03.01.;78464;Birkenweg;Biomuell;Konstanz
07.01.;78465;Birnaublick;Biomuell;Konstanz
02.01.;78464;Birnauer Str.;Biomuell;Konstanz
08.01.;78467;Bismarcksteig 3- 5 und 2- 12 a (von Wollmatinger Str. bis Steinstr.);Biomuell;Konstanz
08.01.;78467;Bismarcksteig 7- 21 und 14 bis 20 (von Wollmatinger Str. bis Kikuz);Biomuell;Konstanz
08.01.;78462;Blarerstr.;Biomuell;Konstanz
02.01.;78467;Bleichenweg;Biomuell;Konstanz
02.01.;78467;Bleicherstr.;Biomuell;Konstanz
07.01.;78465;Blumenstr.;Biomuell;Konstanz
08.01.;78462;Bodanplatz;Biomuell;Konstanz
02.01.;78467;Bodanrückweg;Biomuell;Konstanz
08.01.;78462;Bodanstr.;Biomuell;Konstanz
08.01.;78465;Bohlstr.;Biomuell;Konstanz
02.01.;78464;Brachsengang;Biomuell;Konstanz
02.01.;78467;Brandenburger Str.;Biomuell;Konstanz
02.01.;78464;Brandesstr.;Biomuell;Konstanz
08.01.;78462;Brauneggerstr. 1- 51 und 4- 68 (von Gottlieberstr. bis Rheingutstr.);Biomuell;Konstanz
08.01.;78462;Brauneggerstr. 55- 57 und 70- 78 (von Rheingutstr. bis Alfred-Wachtel-Str.);Biomuell;Konstanz
07.01.;78465;Breitenriedstr.;Biomuell;Konstanz
03.01.;78467;Breslauer Str.;Biomuell;Konstanz
08.01.;78465;Brotgasse;Biomuell;Konstanz
08.01.;78462;Brotlaube;Biomuell;Konstanz
08.01.;78462;Brückengasse;Biomuell;Konstanz
02.01.;78464;Brucknerstr.;Biomuell;Konstanz
08.01.;78467;Bruder-Klaus-Str.;Biomuell;Konstanz
08.01.;78462;Bruderturmgasse;Biomuell;Konstanz
08.01.;78462;Brüelstr.;Biomuell;Konstanz
03.01.;78464;Brugierstr.;Biomuell;Konstanz
07.01.;78465;Brühlstr.;Biomuell;Konstanz
07.01.;78465;Brunnenplatz;Biomuell;Konstanz
03.01.;78464;Buchenbergweg;Biomuell;Konstanz
07.01.;78465;Buchhaldenhof;Biomuell;Konstanz
03.01.;78464;Buchnerstr.;Biomuell;Konstanz
08.01.;78467;Bücklestr.;Biomuell;Konstanz
03.01.;78467;Buhlenweg;Biomuell;Konstanz
03.01.;78467;Bulachweg;Biomuell;Konstanz
02.01.;78464;Bündtgasse;Biomuell;Konstanz
07.01.;78465;Burghofweg;Biomuell;Konstanz
03.01.;78464;Burgunderweg;Biomuell;Konstanz
02.01.;78464;Büscheläcker;Biomuell;Konstanz
02.01.;78467;Byk-Gulden-Str.;Biomuell;Konstanz
02.01.;78467;Carl-Benz-Str.;Biomuell;Konstanz
02.01.;78467;Cherisy-Str.;Biomuell;Konstanz
02.01.;78464;Chr.-Dan.-Schenck-Str.;Biomuell;Konstanz
02.01.;78464;Clara-Schumann-Str.;Biomuell;Konstanz
02.01.;78467;Claude-Dornier-Str.;Biomuell;Konstanz
02.01.;78464;Conrad-Gröber-Str.;Biomuell;Konstanz
08.01.;78467;Conradin-Kreutzer-Str.;Biomuell;Konstanz
08.01.;78462;Dacherstr.;Biomuell;Konstanz
03.01.;78464;Damaschkeweg;Biomuell;Konstanz
08.01.;78462;Dammgasse;Biomuell;Konstanz
03.01.;78464;Danziger Str.;Biomuell;Konstanz
07.01.;78465;Derbyweg;Biomuell;Konstanz
02.01.;78467;De-Trey-Str.;Biomuell;Konstanz
03.01.;78467;Dettinger Str.;Biomuell;Konstanz
